Plant url,Common name,Common Name - MBG,Botanical name,Type,Family,Native range,Zone,Zone low,Zone high,Height,Height low,Height high,Unit,Spread,Spread low,Spread high,Unit,Bloom Time,Bloom Description,Sun,Water,Maintenance,Suggested Use,Flower,Attracts,Fruit,Leaf,Other,Tolerate,Culture,Noteworthy characteristics,Problems,Garden uses
not found,Rosea Ice Plant,x,Drosanthemum Hispidum,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285659&isprofile=1&basic=Dryopteris+Carthusiana,Toothed Wood Fern,,Dryopteris Carthusiana, Fern, Dryopteridaceae, Northern temperate regions, 3 to 8, 3 , 8, 2.00 to 3.00 feet, 2.00 ,3.00,feet, 2.00 to 3.00 feet, 2.00 ,3.00,feet, Non-flowering, Non-flowering, Part shade to full shade, Medium, Low,,,,,,," Rabbit, Heavy Shade","
Culture
Easily grown in average, medium, well-drained soil in part shade to full shade. Prefers moist, humusy, acidic soils with protection from wind in part shade.
","
Noteworthy Characteristics
Dryopteris carthusiana, commonly called wood fern, is a native fern of Missouri and typically grows 2-3' tall. Features lacy, bright lime-green, outward-growing fronds with blackish scales on the stipes (frond stems). Fronds will remain green in mild winters. Fronds are finely toothed and dissected.  Synonymous with D. spinulosa.Genus name from Greek dryas meaning oak and pteris meaning fern in reference to the presence of some species of wood ferns in woodland areas populated with oaks.Specific epithet means of the monks of the Carthusian Monastery of Grande Chartreuse near Grenoble, France.
","
Problems
No serious insect or disease problems.
","
Garden Uses
Mass in shady areas of the woodland, rock, native plant or wild garden. Grows well with spring wildflowers, purple-leafed heucheras and hostas.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285742&isprofile=1&basic=Dryopteris+Filix-mas,Common Male Fern,,Dryopteris Filix-mas, Fern, Dryopteridaceae, Northern temperate regions, 4 to 8, 4 , 8, 2.00 to 3.00 feet, 2.00 ,3.00,feet, 2.00 to 3.00 feet, 2.00 ,3.00,feet, Non-flowering, Non-flowering, Part shade to full shade, Medium, Low,,,,,,," Rabbit, Heavy Shade, Clay Soil","
Culture
Easily grown in average, medium moisture, well-drained soils in part shade to full shade.  Prefers consistently moist, humusy soils that are rich in organic matter.  Soils should not be allowed to dry out.  Site in locations protected from strong winds to prevent damage to the fronds.   Crowns may be divided regularly.
","
Noteworthy Characteristics
Dryopteris filix-mas, commonly called male fern, is native to Europe and North America.  This is a large, arching, deciduous male fern with erect, stout rhizomes and medium green blades (fronds) that grow to 3’ (less frequently to 4’) tall.  Blade is pinnate-pinnatifid (almost 2-pinnate) with 20-30 pair of long-pointed pinnae (leaflets) per blade.  Each leaflet is divided into short, rounded, finely-serrated pinnules (sub-leaflets).  Sori (fruit dots) on the leaflets are located closer to the midvein than the margin.  Crisped, crested, forked and dwarf variants of this species exist.  In North America, this fern ranges from Newfoundland to British Columbia, from New England to the Great Lakes, and from South Dakota to Washington south to California and Texas.  It is typically found in cool, moist, rocky woods, but in New England it is uncommon and limited only to areas with calcareous soils.  In Europe, it is commonly found in a variety of locations including roadsides.Genus name from Greek dryas meaning oak and pteris meaning fern in reference to the presence of some species of wood ferns in woodland areas populated with oaks.Specific epithet means male fern in reference to the somewhat vigorous growing habits of ferns in this species.
","
Problems
No serious insect or disease problems.
","
Garden Uses
Excellent fern for woodland or shade gardens.  Good specimen.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285664&isprofile=1&basic=Dryopteris+Intermedia,Fancy Fern,,Dryopteris Intermedia, Fern, Dryopteridaceae, Northeastern United States, 5 to 8, 5 , 8, 1.00 to 3.00 feet, 1.00 ,3.00,feet, 1.00 to 3.00 feet, 1.00 ,3.00,feet, Non-flowering,, Part shade to full shade, Medium, Low,,,,,, Winter Interest," Rabbit, Heavy Shade, Clay Soil","
Culture
Easily grown in average, medium moisture, well-drained soils in part shade to full shade.  Prefers fertile, moist, humusy loams that are rich in organic matter.  Best with consistent moisture.  Soils should not be allowed to dry out.  Site in locations protected from strong winds to prevent damage to the fronds.  Tolerant of high humidity.  Fronds are evergreen to semi-evergreen in mild winter climates, but deciduous in the St. Louis area.  Where deciduous, the old fronds should be cut off in late winter prior to the emergence of the new growth.  Propagate by division or spores.
","
Noteworthy Characteristics
Dryopteris intermedia, commonly called evergreen wood fern, glandular wood fern to fancy fern, is a rhizomatous wood fern that is native to moist woodland areas, ravines, swamp margins and rocky slopes in Eastern North America from Newfoundland to Ontario to Minnesota south to Missouri and Georgia.  It is common through much of its range, but uncommon in Missouri where it is typically found on shaded ledges and sandstone bluffs.  It was formerly known as Dryopteris spinulosa var. intermedia, and is very similar in appearance to Dryopteris carthusiana (formerly known as Dryopteris spinulosa) from which it is primarily distinguished by (a) length of pinnules on lowest pair of pinnae being usually shorter than the length of the next pinnule and (b) glandular leaf blades.    

This is a lacy evergreen wood fern that typically grows to 1-3’ tall with upright arching fronds to 40” long and 8” wide.  Frond leaflets are lobed and toothed.  Oval to narrow triangular, thrice-cut, finely dissected blade has 10-15 pairs of narrow lance-shaped pinnae (leaflets).  Sori (fruit dots) appear on the leaflet undersides on fertile fronds in early to mid-summer.Genus name from Greek dryas meaning oak and pteris meaning fern in reference to the presence of some species of wood ferns in woodland areas populated with oaks.Specific epithet means intermediate in probable reference to this fern being between D. carthusiana and D. campyloptera.
","
Problems
No serious insect or disease problems.
","
Garden Uses
Excellent fern for woodland or shade gardens.  Containers, borders, rock gardens.  Grow along shaded walls or buildings.  Mass in shaded areas.   Tolerates dryish slopes.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285665&isprofile=1&basic=Dryopteris+Marginalis,Eastern Wood Fern,,Dryopteris Marginalis, Fern, Dryopteridaceae, North America, 3 to 8, 3 , 8, 1.50 to 2.00 feet, 1.50 ,2.00,feet, 1.50 to 2.00 feet, 1.50 ,2.00,feet, Non-flowering, Non-flowering, Part shade to full shade, Medium, Low,,,,, Evergreen, Winter Interest," Rabbit, Heavy Shade","
Culture
Easily grown in average, medium, well-drained soil in part shade to full shade. Prefers moist, rich, humusy, acidic soils with protection from wind.
","
Noteworthy Characteristics
Dryopteris marginalis, commonly called marginal shield fern, is an evergreen, Missouri native fern which typically forms a non-spreading, vase-shaped clump to 1.5-2' (infrequently to 3') tall. This is a woodland fern which is most often found in shaded crevices of rocky ledges and bluffs. Features grayish-green, deeply cut, leathery fronds (15-20"" long). Sori are located at the edges or margins of the pinnule undersides, hence the common name. Rhizome forms an erect crown. Evergreen fronds provide good interest to the winter landscape.Genus name from Greek dryas meaning oak and pteris meaning fern in reference to the presence of some species of wood ferns in woodland areas populated with oaks.Specific epithet comes from the sori being located at the edges or margins of the pinnule undersides.
","
Problems
No serious insect or disease problems.
","
Garden Uses
Grow in shady areas of the woodland, rock, native plant or wild garden. Mixes well with spring wildflowers, purple-leafed heucheras and hostas. Excellent as a specimen or in groups.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=287483&isprofile=1&basic=Duranta+Erecta,Brazilian Sky Flower,,Duranta Erecta, Broadleaf evergreen, Verbenaceae, Tropical America, 10 to 11, 10 , 11, 2.00 to 4.00 feet, 2.00 ,4.00,feet, 1.00 to 2.00 feet, 1.00 ,2.00,feet, Seasonal bloomer," Light blue, violet or white", Full sun, Medium, Medium, Annual, Showy,, Showy, Evergreen, Thorns,,"
Culture
Winter hardy to USDA Zones 10-11 where plants are grown in moist, fertile, well-drained soils in full sun. Tolerates light shade, but best flowering is in full sun. Tolerates wide range of soils. Grow as an annual shrub, in containers or as a houseplant in the St. Louis area. Container plants must be brought inside in fall before first frost for overwintering in a bright sun room.
","
Noteworthy Characteristics
Duranta erecta, commonly called golden dewdrop, pigeon berry or sky flower, is native from Florida to Brazil and in the West Indies. It is a spreading, sometimes weeping, evergreen shrub or small tree that grows to 15-18’ tall in its native habitat. In St. Louis it is typically grown as a 2-4’ tall annual shrub or in containers that must be overwintered indoors. Sharp axillary thorns are usually present on stems of mature plants, but are usually absent on young plants. Features drooping axillary and terminal racemes of light blue to violet flowers which bloom summer to fall. Flowers give way in fall to drooping clusters of yellow-orange drupes (golden dewberries as it were). Fruit often does not appear on plants grown in the St. Louis area. Oval rounded light green leaves (to 2” long).Genus name honors Castore Durante (c.1529-1590), Papal physician and botanist in Rome.Specific epithet means upright or erect.
","
Problems
No serious insect or disease problems. Watch for whiteflies. For more information see: Problems Common to Many Indoor Plants
","
Garden Uses
Hedge, border plant, lawn specimen or train as small tree in warm climates. In St. Louis, grow as annual, in containers, houseplant or greenhouses.
",
not found,Durian,x,Durio Zibethinus,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=291457&isprofile=1&basic=Dypsis+Lutescens,Areca Palm,,Dypsis Lutescens, Palm or Cycad, Arecaceae, Madagascar, 10 to 11, 10 , 11, 12.00 to 30.00 feet, 12.00 ,30.00,feet, 8.00 to 15.00 feet, 8.00 ,15.00,feet, July to August, Yellow, Full sun to part shade, Medium, Low,, Showy,,, Evergreen, Winter Interest,,"
Culture
Winter hardy to USDA Zones 10-11 where it is best grown in rich, moist but well-drained soils in bright part shade areas.  Tolerates full sun.  Houseplants prefer consistent moisture in mostly sunny exposures with high humidity.  Direct full sun indoors may scorch the foliage.  Houseplants dislike temperatures that drop below 60 degrees F.
","
Noteworthy Characteristics
Dypsis lutescens, commonly called bamboo palm, butterfly palm or areca palm, is native to moist forest areas in Madagascar.   Although endangered in its native habitat, it is commonly available in commerce throughout the world for outdoor plantings (where winter hardy) or as a houseplant.  This multi-stemmed palm is now considered to be the most popular palm sold as a houseplant.  Outdoors it will typically grow to 12-30' tall.  Multiple-ringed, cane-like, yellow stems grow from the base of the plant in clusters.  Stems sometimes resemble bamboo when suckers are removed, hence the common name of bamboo palm.  Stems are topped with pinnate, upward-curving, light green leaves (to 3-6' long) with yellow midribs.  Each leaf has 40-60 1/2 to 3/4"" lance-shaped leaflets per side.   Yellow flowers bloom in summer in panicles to 2' long.  Flowers are not particularly showy.  Flowers are followed by small yellow-orange fruits (each to 1/2"" long) that mature to nearly black.  Another common name for this palm is golden cane palm in reference to its yellow stems.  

Synonymous with and formerly known as Chrysalidocarpus lutescens.Specific epithet means turning yellow in reference to the yellow flowers, stems and leaf midribs.
","
Problems
No serious insect or disease problems.   Lethal yellowing is a significant and deadly phytoplasma disease of palms (spread by planthoppers) that may occur on plants grown outdoors.  Insect pests include scale and whiteflies.  Watch for spider mites.
","
Garden Uses
Where winter hardy, it may be grown in groups as a landscape specimen.  Excellent screen, informal hedge or privacy wall.  Very popular indoor houseplant.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=279922&isprofile=1&basic=Elaeagnus+Angustifolia,Russian Olive,,Elaeagnus Angustifolia, Tree, Elaeagnaceae, Asia, 3 to 7, 3 , 7, 12.00 to 20.00 feet, 12.00 ,20.00,feet, 12.00 to 20.00 feet, 12.00 ,20.00,feet, May to June, Silver-white (outside) and yellow (inside), Full sun to part shade, Dry to medium, Low," Hedge, Flowering Tree"," Showy, Fragrant", Birds," Showy, Edible",," Winter Interest, Thorns"," Deer, Drought, Clay Soil","
Culture
Easily grown in average, dry to medium, well-drained soils in full sun to part shade. Best in light, sandy loams in full sun. This is a vigorous, fast-growing plant that tolerates a wide variety of soils including both poor dry soils and wet heavy clays. Also tolerates wind, summer heat and saline conditions. Performs poorly in humid summer climates, however, and is not recommended for planting in the deep South (south of USDA Zone 7). Can spread by root suckers and self seeding.
","
Noteworthy Characteristics
Elaeagnus angustifolia, commonly called Russian olive or oleaster is native to Europe and Asia. It is a small, usually thorny, deciduous tree or large shrub that is typically grown for its silvery foliage, small fragrant yellow flowers, olive-like fruit and ease of cultivation. It has been widely planted in North America as both a windbreak and an ornamental. As a tree, it typically grows 12-20’ tall. It responds well to clipping and can be grown much shorter as a hedge. Branches and trunk are covered with exfoliating brown bark that is attractive in winter. Twigs are occasionally thorny. Narrow, willow-like leaves (to 2” long) are dark green above and silvery beneath. Angustifolia means narrow-leaved. Fragrant apetalous flowers with four lobed calyces appear in clusters of 1-3 in leaf axils near the base of new shoots in late spring. Flowers are silvery white outside and yellowish inside. Flowers are followed in fall by an often abundant crop of berry-like, silver-scaled fruit resembling olives, hence the common name. Fruit is edible, and is sometimes used for making preserves. Fruit is also attractive to wildlife. Although relatively tame in the St. Louis climate, Russian olive has aggressively naturalized in many parts of the West, particularly in watersheads and marshlands of the Great Plains where it has self-seeded and spread along rivers and wetland areas, crowding out native plants such as cottonwoods and willows, to the point where it is now being considered a noxious weed.Genus name comes from the Greek words elaia meaning the olive tree and agnos meaning chaste-tree.Specific epithet means having narrow leaves.
","
Problems
Canker and verticillium wilt are serious problems in some areas. Fungal leaf spot and rust may also occur.
","
Garden Uses
Background plant. Screen or Barrier. Hedge. Accent in shrub border.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=279924&isprofile=1&basic=Elaeagnus+Pungens,Silverthorn,,Elaeagnus Pungens, Broadleaf evergreen, Elaeagnaceae, Japan, 7 to 9, 7 , 9, 12.00 to 15.00 feet, 12.00 ,15.00,feet, 15.00 to 18.00 feet, 15.00 ,18.00,feet, October to November, Creamy white, Full sun to part shade, Medium, Medium," Hedge, Naturalize"," Showy, Fragrant", Birds, Showy, Evergreen, Winter Interest," Deer, Drought, Erosion, Clay Soil, Air Pollution","
Culture
Winter hardy to USDA Zones 7-9 where it is easily grown in average, medium moisture, well-drained soils in full sun to part shade.  Also tolerates shade.  Best in light, sandy loams.  Established plants are very drought tolerant.  This is a vigorous, fast-growing shrub that tolerates a wide variety of soils including poor infertile ones.  Avoid wet, poorly drained soils.  May spread by suckering.  May self seed in the garden.  Plants have shown some invasive tendencies (animals and birds help disperse seed) by escaping into natural areas in the southeastern U.S.  Best propagated by cuttings.  If planted in areas where growth needs to be restrained, this shrub requires constant pruning to keep it in bounds.
","
Noteworthy Characteristics
Elaeagnus pungens, commonly called thorny elaeagnus or silverthorn, is native to China and Japan.  It is a large, sprawling, durable, broad-leaved evergreen shrub that typically grows to 12-15' tall.  Young branchlets are covered with brown scales.  Branchlets are usually spiny.  Wavy-margined, elliptic to oblong leaves (to 3.5"" long) are lustrous green above but silvery-white and dotted with tiny brown scales below.  Small, apetalous, bell-shaped, creamy white flowers (to 1/4"" long) bloom in axillary clusters in late fall (October-November).  Flowers are not particularly showy, but are intensely fragrant (some suggest gardenia-scented).  Small, one-seeded, reddish-brown fruits (drupes to 1/2"" long) typically ripen in spring (late March-May).  Fruits are technically edible, but perhaps best left for the birds.Genus name comes from the Greek words elaia meaning the olive tree and agnos meaning chaste-tree.Specific epithet means sharp-pointed in reference to the sharp thorny spines found on this species.Common names are also in reference to the spines.
","
Problems
No serious insect or disease problems.  Fungal leaf spot and rust may occur.  Watch for spider mites.   Although a shrub, it has climbing tendencies (long branchless shoots from the top of the shrub, if not pruned off, can attach to overhead trees).
","
Garden Uses
This is a large shrub which needs a large area in which to grow.  Background plant.  Screen, barrier or windbreak.  Hedge.  Accent in shrub border.   Along highways.  Erosion control.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=260311&isprofile=1&basic=Elymus+Magellanicus,Blue Wheatgrass,,Elymus Magellanicus, Ornamental grass, Poaceae,, 5 to 8, 5 , 8, 0.75 to 1.00 feet, 0.75 ,1.00,feet, 0.75 to 1.00 feet, 0.75 ,1.00,feet, June to August, Bluish green, Full sun, Medium, Low,, Showy,,, Colorful,, Black Walnut,"
Culture
Best grown in moist, relatively fertile, somewhat gritty, well-drained soils in full sun to part shade.  Appreciates some light afternoon shade in hot summer climates. Tolerates a wide variety of soils as long as they are sharply drained.  Performs poorly in climates with high humidity and high nighttime temperatures.  Good drought tolerance.  Evergreen only in mild winter locations.  Foliage may be cut back hard in cold winter locations.
","
Noteworthy Characteristics
Elymus magellanicus, commonly called Magellan wheatgrass or blue wheatgrass, is a cool season perennial grass that is native to alpine areas in southern Patagonia (far southern parts of Chile and Argentina).  It is grown in landscapes today for enjoyment of its exceptional metallic blue leaves which many consider to have the best blue color of all blue-leaved grasses.  Flat, narrow, linear, pointed leaf blades grow in a dense foliage clump to 16” tall.  As they age, the older leaves arch outward revealing the central, more erect, intensely blue new growth.  Thin, stiff, upright blue flowering stems topped by wheat-like pale blue-green flower spikes rise above the leaves in late spring to early summer to 24-30” tall.  Flowers are light blue-gray, but turn tan with age.  Although the flower stems gracefully sway in the breeze, they are not particularly ornamental.  When mature, the blue flowers turn tan with the flower spikes purportedly resembling the fruit spikes of wheat, hence the common name of blue wheatgrass.Genus name comes from the Greek word elymos used for a type of grain.Specific epithet means of the region of the Straits of Magellan which is the South American water route separating southern Chile and Tierra del Fuego.‘Blue Tango’ is a cultivar that purportedly features more intense blue foliage color than that found on the species.  It is sometimes sold in commerce under the name of Agropyron magellanicum 'Blue Tango'.
","
Problems
No serious insect or disease problems.   Powdery mildew and rust are occasional problems in some areas.
","
Garden Uses
Excellent container plant.  Rock gardens.  Border specimen.  Edging.
",
not found,Brittle Bush,x,Encelia Farinosa,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
not found,Reed Orchid,x,Epidendrum Ibaguense,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285667&isprofile=1&basic=Equisetum+Hyemale,Horsetail Reed,,Equisetum Hyemale, Rush or Sedge, Equisetaceae," Eurasia, North America", 4 to 9, 4 , 9, 2.00 to 4.00 feet, 2.00 ,4.00,feet, 1.00 to 6.00 feet, 1.00 ,6.00,feet, Non-flowering, Non-flowering, Full sun to part shade, Medium to wet, Medium," Water Plant, Naturalize, Rain Garden", Insignificant,,,,, Heavy Shade,"
Culture
Best grown in medium to wet soils in full sun to part shade. Tolerates an extremely wide range of soils, however. Will grow in up to 4” of standing water. Spreads to form large colonies in the wild. Homeowners are often more interested in learning how to eradicate this plant from the landscape than how to grow it. It is a very aggressive plant which, if not preemptively restrained, will spread aggressively by branched, creeping rhizomes. Once established, it can be extremely difficult to remove by digging because its rhizomes spread wide and deep, and any small section of rhizome left behind can sprout a new plant. Consider using soil barriers to restrict growth. In water gardens or tub gardens, plant in pots at water bottom to contain growth (both height and spread).
","
Noteworthy Characteristics
Equisetum hyemale, commonly called scouring rush or rough horsetail, is a non-flowering, rush-like, rhizomatous, evergreen perennial which typically grows 3-5’ tall and is native to large portions of Eurasia, Canada and the U.S., including Missouri. It typically occurs in wet woods, moist hillsides and peripheries of water bodies (lakes, rivers, ponds). This species features rigid, rough, hollow, vertically-ridged, jointed-and-segmented, bamboo-like, dark green stems (to 1/2” diameter at the base) which rise up from the plant rhizomes. Each stem node (joint) is effectively marked by a whorl of tiny, stem-clasping, scale-like leaves which are fused into an ash-gray sheath (1/4” long) ending in a fringe of teeth. Teeth are usually shed during the growing season. Each sheath is set off and accentuated, both above and below, by thin, stem-ringing, black bands. Photosynthesis is basically carried on by the stems of this plant. Vegetative and fertile stems are alike in this species, with some vegetative stems bearing, at the stem tips, pine cone-like fruiting heads (to 1” long) which contain numerous spores. The evergreen stems are particularly noticeable in winter and can provide significant interest to the landscape. Stems have a high silica content and were used by early Americans for polishing pots and pans, hence the common name of scouring rush. Equisetum is not a rush however. Nor is it a fern. Equisetum is the single surviving genus of a class of primitive vascular plants that dates back to the mid-Devonian period (350 + million years ago). Today, the equisetums are categorized as fern allies in large part because they, like the ferns, are non-flowering, seedless plants which reproduce by spores.Genus name comes from the Latin words equus meaning a horse and seta meaning a bristle.Specific epithet means of winter or flowering is winter. Most probably for its winter interest as Equisetum is not a flowering plant.
","
Problems
No serious insect or disease problems. Very aggressive spreader.
","
Garden Uses
Water gardens. Japanese gardens. Bog gardens. Stream or pond peripheries. Good plant for covering a wet low spot where nothing else will grow. Interesting plant for large patio containers. Provides strong vertical accent to any planting.
",
not found,Dwarf Horsetail Reed,x,Equisetum Scirpoides,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=263861&isprofile=1&basic=Eragrostis+Elliottii,Blue Love Grass,,Eragrostis Elliottii, Ornamental grass, Poaceae,, 6 to 9, 6 , 9, 2.00 to 3.00 feet, 2.00 ,3.00,feet, 2.00 to 3.00 feet, 2.00 ,3.00,feet, July to October, White, Full sun, Dry to medium, Low, Naturalize, Showy,,,, Winter Interest," Drought, Erosion, Dry Soil, Black Walnut, Air Pollution","
Culture
Best grown in organically rich, dry to medium moisture, well-drained soils in full sun. Plants do particularly well in sandy soils. Established plants have some drought tolerance. Cut back foliage to the ground in late winter to early spring. Plants will self-seed in optimum growing conditions. Propagate by division in early spring. Plants may not be winter hardy throughout the St. Louis area, and may be best sited in protected locations.
","
Noteworthy Characteristics
Eragrostis elliottii, commonly known as love grass, is native to certain open woodlands, sandy areas and prairies in Georgia, North Carolina and South Carolina. It is a fine-textured, warm season grass that grows to 3’ tall and is noted for its blue-green foliage and fluffy white flowers. White flower panicles appear in summer, turn tan by late summer as the seed ripens and finally lighten to straw hues in autumn. Flower panicles dance in the wind, hence the cultivar name. Additional common names for this species of grass include field love grass, blue love grass and Elliott’s love grass.Genus name comes from the Greek words eros meaning love and agrostis meaning grass.Specific epithet presumably honors botanist Stephen Elliott (1771-1830) from Charleston, South Carolina.‘Wind Dancer’ features narrow (1/4” wide) blue-green leaves.
","
Problems
No serious insect or disease problems. Mature clumps sometimes tend to sprawl or droop.
","
Garden Uses
Good specimen accent. Group or mass in native plant areas or meadows where it can naturalize. Also effective when grown in large containers.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285200&isprofile=1&basic=Eragrostis+Spectabilis,Purple Love Grass,,Eragrostis Spectabilis, Ornamental grass, Poaceae, North America, 5 to 9, 5 , 9, 1.00 to 2.00 feet, 1.00 ,2.00,feet, 1.00 to 2.00 feet, 1.00 ,2.00,feet, July to August, Soft reddish-purple, Full sun, Dry to medium, Low, Naturalize," Showy, Good Cut, Good Dried",,,,," Drought, Black Walnut, Air Pollution","
Culture
Grow in average, dry to medium, well-drained soils in full sun. Plants generally perform best in sandy or gravelly loams in hot, dry locations. Plants tolerate infertile, poor soils. Good resistance to drought. Plants spread by self-seeding and by stems rooting along the ground at the nodes. Propagate by seed or division in spring.
","
Noteworthy Characteristics
Eragrostis spectabilis, commonly called purple love grass, is a warm season bunchgrass that is native to sandy soils from Maine to South Dakota south to Florida, Texas, Arizona and Mexico. In Missouri, it is found throughout the State, most commonly in sandy, rocky or open ground and along roads, fencerows and railroads (Steyermark). Flat, coarse, mostly basal, green leaves (to 10"" long and 3/8"" wide) form a somewhat disorganized clump of foliage that typically rises to 10"" tall. Soft reddish-purple flowers in a loose, open inflorescence appear in August, forming an airy cloud that covers the grass clump and raises the overall height of the plant to 24"" tall. Flowers lose color and turn brown by October. As the seeds mature, the inflorescence usually detaches from the plant and blows along the ground like a tumbleweed distributing seed as it goes.Genus name comes from the Greek words eros meaning love and agrostis meaning grass.Specific epithet means spectacular or showy.
","
Problems
No serious insect or disease problems.
","
Garden Uses
Group or mass in borders. Also effective in native plant areas or meadows where it can naturalize. Inflorescence is excellent for dried flower arrangements.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285275&isprofile=1&basic=Eragrostis+Trichodes,Love Grass,,Eragrostis Trichodes, Ornamental grass, Poaceae, United States, 5 to 9, 5 , 9, 2.00 to 4.00 feet, 2.00 ,4.00,feet, 2.00 to 3.00 feet, 2.00 ,3.00,feet, July to August, Purple tinted, Full sun, Dry to medium, Medium, Naturalize, Showy,,,, Winter Interest," Drought, Erosion, Dry Soil, Black Walnut, Air Pollution","
Culture
Grow in average, dry to medium moisture, well-drained soils in full sun. Plants are drought tolerant and perhaps do best in sandy loams in hot, dry locations. Plants will self-seed in optimum growing conditions. Propagate by seed or division in spring. Spreads by self-seeding and by stems rooting along the ground at the nodes.
","
Noteworthy Characteristics
Eragrostis trichodes, commonly called sand love grass, is a warm season bunchgrass that is native from Ohio to Nebraska and south to Louisiana and Texas. It is densely tufted and typically rises to 2-4’ tall on generally weak stems. In Missouri, it is most commonly found in open sandy woods or in sandy areas along streams or railroad tracks (Steyermark). It features narrow, mostly flat, shiny dark green blades (to 6-30” long by 1/4” wide). Purple tinted flowers appear in loose, open panicles in July-August. Flower stems do not rise well above the foliage which detracts from the overall plant appearance. Mature plants turn bronze in fall and have continued interest into winter.Genus name comes from the Greek words eros meaning love and agrostis meaning grass.Specific epithet means hairy or shaggy.
","
Problems
No serious insect or disease problems. Mature clumps sometimes tend to sprawl or droop.
","
Garden Uses
Group or mass in native plant areas or meadows where it can naturalize.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=257557&isprofile=1&basic=Daisy+Fleabane,Daisy Fleabane,,Erigeron Karvinskianus, Herbaceous perennial, Asteraceae,, 2 to 8, 2 , 8, 1.50 to 2.00 feet, 1.50 ,2.00,feet, 1.50 to 2.00 feet, 1.50 ,2.00,feet, July to August, Blue/yellow, Full sun, Dry to medium, Low,," Showy, Good Cut",,,,," Deer, Drought","
Culture
Easily grown in average, dry to medium, well-drained soils in full sun. Good drainage is important for this plant. Cut back stems after flowering to encourage additional bloom. Tolerates some light shade, particularly in hot summer climates.
","
Noteworthy Characteristics
Erigeron is a genus of about 200 species of annuals, biennials and perennials from dry grassland and mountainous areas of predominantly North America. Erigerons are similar in appearance to and sometimes confused with asters.Genus name comes from the Greek words eri meaning early and geron meaning old man in reference to the early bloom time and downy plant appearance suggestive of the white beard of an old man.Plants in the genus Erigeron are often commonly called fleabane as a result of a once widely held theory that these plants repel fleas.'Darkest of All' is a hybrid erigeron cultivar which probably features E. speciosus as a prominent parent. It features large flowers (to 2"" across) with deep violet rays and yellow center disks atop stiff stems rising to 2' tall from a basal clump of lance-shaped green leaves (3-6"" long). Smaller lance-shaped stem leaves. Blooms in summer with some intermittent rebloom extending into early fall. 'Darkest of All' is a translation of the original German cultivar name of 'Dunkelste Aller'.
","
Problems
Some susceptibility to powdery mildew, leaf spots and rust. Erigeron often does not thrive in hot and humid summer climates such as found in the St. Louis area.
","
Garden Uses
Borders or cutting gardens.
",
