Botanical Name,Page title,Expected Common Name,Wikipedia Page link,
Rodgersia sambucifolia,Rodgersia,Rodgersia; Rodgersia nepalensis,https://en.wikipedia.org/wiki/Rodgersia,
Rosa laevigata,Rosa laevigata,Rosa laevigata; Cherokee rose,https://en.wikipedia.org/wiki/Rosa_laevigata,
Rosa multiflora,Rosa multiflora,Rosa multiflora; Rosa polyantha; multiflora rose; baby rose; Japanese rose; many-flowered rose; seven-sisters rose; Eijitsu rose; rambler rose,https://en.wikipedia.org/wiki/Rosa_multiflora,
Rosa palustris,Rosa palustris,Rosa palustris; swamp rose,https://en.wikipedia.org/wiki/Rosa_palustris,
Rosa rubiginosa,Rosa rubiginosa,Rosa rubiginosa; sweet briar; sweetbriar rose; sweet brier; eglantine,https://en.wikipedia.org/wiki/Rosa_rubiginosa,
Rosa setigera,Rosa setigera,Rosa setigera; climbing rose,https://en.wikipedia.org/wiki/Rosa_setigera,
Rosa xanthina,not found,not found,not found,
Rubus odoratus,Rubus odoratus,Rubus odoratus; purple-flowered raspberry; flowering raspberry; Virginia raspberry,https://en.wikipedia.org/wiki/Rubus_odoratus,
Rubus parviflorus,Rubus parviflorus,Rubus parviflorus; thimbleberry; wä-sā’,https://en.wikipedia.org/wiki/Rubus_parviflorus,
Rudbeckia missouriensis,Rudbeckia missouriensis,Rudbeckia missouriensis; Missouri coneflower,https://en.wikipedia.org/wiki/Rudbeckia_missouriensis,
Rudbeckia subtomentosa,Rudbeckia subtomentosa,Rudbeckia subtomentosa; sweet coneflower,https://en.wikipedia.org/wiki/Rudbeckia_subtomentosa,
Ruellia strepens,Ruellia,Ruellia; ruellias; wild petunias,https://en.wikipedia.org/wiki/Ruellia,
Rumex acetosa,Sorrel,Common sorrel; garden sorrel; sorrel; spinach dock; narrow-leaved dock,https://en.wikipedia.org/wiki/Sorrel,
Sabal etonia,Sabal etonia,Sabal etonia; scrub palmetto,https://en.wikipedia.org/wiki/Sabal_etonia,
Sabatia angularis,Sabatia angularis,Sabatia angularis; rosepink,https://en.wikipedia.org/wiki/Sabatia_angularis,
Saccharum ravennae,Saccharum ravennae,Saccharum ravennae; ravennagrass; elephant grass; ekra; ikora,https://en.wikipedia.org/wiki/Saccharum_ravennae,
Sagittaria graminea,Sagittaria graminea,Sagittaria graminea; grassy arrowhead; grass-leaved arrowhead,https://en.wikipedia.org/wiki/Sagittaria_graminea,
Sagittaria latifolia,Sagittaria latifolia,Sagittaria latifolia; broadleaf arrowhead; duck-potato; Indian potato; wapato,https://en.wikipedia.org/wiki/Sagittaria_latifolia,
Salix daphnoides,Salix daphnoides,Salix daphnoides; European violet willow; S. daphnoides,https://en.wikipedia.org/wiki/Salix_daphnoides,
Salix lapponum,Salix lapponum,Salix lapponum; downy willow,https://en.wikipedia.org/wiki/Salix_lapponum,
Salix pendulina,Salix babylonica,Salix babylonica; Babylon willow; weeping willow; weeping willow,https://en.wikipedia.org/wiki/Salix_babylonica,
Salvia elegans,Salvia elegans,Salvia elegans; pineapple sage; tangerine sage,https://en.wikipedia.org/wiki/Salvia_elegans,
Salvia penstemonoides,Salvia pentstemonoides,Salvia pentstemonoides; Big red sage,https://en.wikipedia.org/wiki/Salvia_pentstemonoides,
Salvia pratensis,Salvia pratensis,Salvia pratensis; meadow clary; meadow sage,https://en.wikipedia.org/wiki/Salvia_pratensis,
Salvia sclarea,Salvia sclarea,Salvia sclarea; clary; clary sage,https://en.wikipedia.org/wiki/Salvia_sclarea,
Salvia verticillata,Salvia verticillata,Salvia verticillata; lilac sage; whorled clary,https://en.wikipedia.org/wiki/Salvia_verticillata,
Salvinia natans,Salvinia natans,Salvinia natans; floating fern; floating watermoss; floating moss; water butterfly wings,https://en.wikipedia.org/wiki/Salvinia_natans,
Sanguinaria canadensis,Sanguinaria,Sanguinaria canadensis; bloodroot; Sanguinaria; Canada puccoon; bloodwort; redroot; red puccoon; pauson; tetterwort,https://en.wikipedia.org/wiki/Sanguinaria,
Sanguisorba officinalis,Sanguisorba officinalis,Sanguisorba officinalis; great burnet,https://en.wikipedia.org/wiki/Sanguisorba_officinalis,
Sarracenia catesbaei,Sarracenia oreophila,Sarracenia oreophila; green pitcherplant,https://en.wikipedia.org/wiki/Sarracenia_oreophila,
Sarracenia leucophylla,Sarracenia leucophylla,Sarracenia leucophylla; crimson pitcherplant; purple trumpet-leaf; white pitcherplant,https://en.wikipedia.org/wiki/Sarracenia_leucophylla,
Sarracenia minor,Sarracenia minor,Sarracenia minor; hooded pitcherplant,https://en.wikipedia.org/wiki/Sarracenia_minor,
Sarracenia oreophila,Sarracenia oreophila,Sarracenia oreophila; green pitcherplant,https://en.wikipedia.org/wiki/Sarracenia_oreophila,
Sarracenia rubra,Sarracenia rubra,Sarracenia rubra; sweet pitcherplant,https://en.wikipedia.org/wiki/Sarracenia_rubra,
Satureja montana,Winter savory,Satureja montana; winter savory; mountain savory,https://en.wikipedia.org/wiki/Winter_savory,
Saxifraga stolonifera,Saxifraga stolonifera,"Saxifraga stolonifera; creeping saxifrage, strawberry saxifrage, creeping rockfoil; Aaron's beard; mother of thousands; roving sailor; wandering Jew; strawberry begonia; strawberry geranium",https://en.wikipedia.org/wiki/Saxifraga_stolonifera,
Scadoxus multiflorus,Scadoxus multiflorus,Scadoxus multiflorus; blood lily; ball lily; fireball lily; blood flower; Katherine-wheel; oxtongue lily; poison root; powderpuff lily,https://en.wikipedia.org/wiki/Scadoxus_multiflorus,
Schefflera actinophylla,Schefflera actinophylla,Schefflera actinophylla; Australia umbrella tree; Queensland umbrella tree; octopus tree; amate,https://en.wikipedia.org/wiki/Schefflera_actinophylla,
Schizanthus pinnatus,Schizanthus,Schizanthus; butterfly flower; fringeflower; poor-man's-orchid,https://en.wikipedia.org/wiki/Schizanthus,
Schizophragma hydrangeoides,Schizophragma,Schizophragma; hydrangea vine,https://en.wikipedia.org/wiki/Schizophragma,
Schizostylis coccinea,Hesperantha coccinea,Hesperantha coccinea; kaffir lily; river lily; crimson flag,https://en.wikipedia.org/wiki/Hesperantha_coccinea,
Schoenoplectus tabernaemontani,Schoenoplectus tabernaemontani,Schoenoplectus tabernaemontani; softstem bulrush; grey club-rush; great bulrush,https://en.wikipedia.org/wiki/Schoenoplectus_tabernaemontani,
Scirpus atrovirens,Scirpus atrovirens,Scirpus atrovirens; dark-green bulrush; dark green bulsedge; black bulrush; green bulrush,https://en.wikipedia.org/wiki/Scirpus_atrovirens,
Scirpus cyperinus,Scirpus cyperinus,Scirpus cyperinus; woolgrass; cottongrass bulrush; brown woolly sedge,https://en.wikipedia.org/wiki/Scirpus_cyperinus,
Scrophularia marilandica,Scrophularia marilandica,Scrophularia marilandica; late figwort; Maryland figwort; carpenter's square; eastern figwort,https://en.wikipedia.org/wiki/Scrophularia_marilandica,
Scutellaria incana,Scutellaria incana,Scutellaria incana; hoary skullcap; downy skullcap,https://en.wikipedia.org/wiki/Scutellaria_incana,
Scutellaria lateriflora,Scutellaria lateriflora,Scutellaria lateriflora; blue skullcap; mad dog skullcap; side-flowering skullcap,https://en.wikipedia.org/wiki/Scutellaria_lateriflora,
Sedum sexangulare,Sedum sexangulare,Sedum sexangulare; tasteless stonecrop,https://en.wikipedia.org/wiki/Sedum_sexangulare,
Senna alata,Senna alata,Senna alata; emperor's candlesticks; candle bush; candelabra bush; Christmas candles; empress candle plant; ringworm shrub; candletree; akapulko; (ඇත්තෝර ),https://en.wikipedia.org/wiki/Senna_alata,
Senna marilandica,Senna marilandica,Senna marilandica; Maryland senna; Maryland wild senna,https://en.wikipedia.org/wiki/Senna_marilandica,
Senna obtusifolia,Senna obtusifolia,Senna obtusifolia; Chinese senna; American sicklepod; sicklepod; Diallobus; foetid sassia; sickle senna; coffeeweed; Arsenic weed; blunt-leaved senna; coffee pod; java bean; 决明; Chinese Senna,https://en.wikipedia.org/wiki/Senna_obtusifolia,
Sesleria caerulea,Sesleria caerulea,Sesleria caerulea; blue moor-grass,https://en.wikipedia.org/wiki/Sesleria_caerulea,
Shepherdia argentea,Shepherdia argentea,Shepherdia argentea; silver buffaloberry; bull berry; thorny buffaloberry; añ-ka-mo-do-nûp,https://en.wikipedia.org/wiki/Shepherdia_argentea,
Sida fallax,Sida fallax,Sida fallax; yellow 'ilima; ʻilima; Kio,https://en.wikipedia.org/wiki/Sida_fallax,
Silene armeria,Silene armeria,Silene armeria; Sweet William catchfly; dwarf catchfly,https://en.wikipedia.org/wiki/Silene_armeria,
Silene caroliniana,Silene caroliniana,Silene caroliniana; sticky catchfly; wild pink,https://en.wikipedia.org/wiki/Silene_caroliniana,
Silene regia,Silene regia,Silene regia; royal catchfly,https://en.wikipedia.org/wiki/Silene_regia,
Silene stellata,Silene stellata,Silene stellata; starry campion; widow's frill,https://en.wikipedia.org/wiki/Silene_stellata,
Silene virginica,Silene virginica,Silene virginica; fire pink,https://en.wikipedia.org/wiki/Silene_virginica,
Silene vulgaris,Silene vulgaris,Silene vulgaris; bladder campion; maidenstears,https://en.wikipedia.org/wiki/Silene_vulgaris,
Silphium gracile,Silphium radula,Silphium radula; roughstem rosinweed,https://en.wikipedia.org/wiki/Silphium_radula,
Silphium integrifolium,Silphium integrifolium,Silphium integrifolium; rosinweed; whole-leaf rosinweed; entire-leaf rosinweed; prairie rosinweed,https://en.wikipedia.org/wiki/Silphium_integrifolium,
Silphium laciniatum,Silphium laciniatum,Silphium laciniatum; compassplant; compass plant; prairie compass plant; pilotweed; polarplant; gum weed; cut-leaf silphium; turpentine plant,https://en.wikipedia.org/wiki/Silphium_laciniatum,
Silphium perfoliatum,Silphium perfoliatum,Silphium perfoliatum; cup plant; cup-plant; USA; CAN,https://en.wikipedia.org/wiki/Silphium_perfoliatum,
Silphium terebinthinaceum,Silphium terebinthinaceum,Silphium terebinthinaceum; prairie dock; prairie rosinweed,https://en.wikipedia.org/wiki/Silphium_terebinthinaceum,
Silybum marianum,Silybum marianum,Silybum marianum; cardus marianus; milk thistle; blessed milkthistle; Marian thistle; Mary thistle; Saint Mary's thistle; Mediterranean milk thistle; variegated thistle; Scotch thistle,https://en.wikipedia.org/wiki/Silybum_marianum,
Sinningia speciosa,Sinningia speciosa,Sinningia speciosa; gloxinia; florist's gloxinia; Brazilian gloxinia,https://en.wikipedia.org/wiki/Sinningia_speciosa,
Sisyrinchium angustifolium,Sisyrinchium angustifolium,Sisyrinchium angustifolium; narrow-leaf blue-eyed-grass,https://en.wikipedia.org/wiki/Sisyrinchium_angustifolium,
Sisyrinchium californicum,Sisyrinchium californicum,Sisyrinchium californicum; golden blue-eyed grass; yellow-eyed-grass; golden-eyed-grass,https://en.wikipedia.org/wiki/Sisyrinchium_californicum,
Sisyrinchium campestre,Sisyrinchium,Sisyrinchium; blue-eyed grasses,https://en.wikipedia.org/wiki/Sisyrinchium,
Sium suave,Sium suave,Sium suave; water parsnip; hemlock waterparsnip; nakhankam; Footnotes; Citations,https://en.wikipedia.org/wiki/Sium_suave,
Solanum mammosum,Solanum mammosum,Solanum mammosum; nipplefruit; fox head; cow's udder; apple of Sodom,https://en.wikipedia.org/wiki/Solanum_mammosum,
Solanum seaforthianum,Solanum seaforthianum,Solanum seaforthianum; Brazilian nightshade,https://en.wikipedia.org/wiki/Solanum_seaforthianum,
Solidago canadensis,Solidago canadensis,Solidago canadensis; Canada goldenrod; Canadian goldenrod,https://en.wikipedia.org/wiki/Solidago_canadensis,
Solidago flexicaulis,Solidago flexicaulis,Solidago flexicaulis; broadleaved goldenrod; zigzag goldenrod,https://en.wikipedia.org/wiki/Solidago_flexicaulis,
Solidago gattingeri,Solidago gattingeri,Solidago gattingeri; Gattinger's goldenrod,https://en.wikipedia.org/wiki/Solidago_gattingeri,
Solidago gigantea,Solidago gigantea,Solidago gigantea; tall goldenrod; giant goldenrod,https://en.wikipedia.org/wiki/Solidago_gigantea,
Solidago hispida,Solidago hispida,Solidago hispida; hairy goldenrod,https://en.wikipedia.org/wiki/Solidago_hispida,
Solidago juncea,Solidago juncea,Solidago juncea; early goldenrod; plume golden-rod; yellow top,https://en.wikipedia.org/wiki/Solidago_juncea,
Solidago nemoralis,Solidago nemoralis,Solidago nemoralis; gray goldenrod; gray-stem goldenrod; old-field goldenrod; field goldenrod; prairie goldenrod; dwarf goldenrod; dyersweed goldenrod,https://en.wikipedia.org/wiki/Solidago_nemoralis,
Solidago odora,Solidago odora," Solidago odora; sweet goldenrod,; anisescented goldenrod; fragrant goldenrod",https://en.wikipedia.org/wiki/Solidago_odora,
Solidago ouachitensis,Solidago ouachitensis,Solidago ouachitensis; Ouachita Mountain goldenrod,https://en.wikipedia.org/wiki/Solidago_ouachitensis,
Solidago rugosa,Solidago rugosa,Solidago rugosa; wrinkleleaf goldenrod; rough-stemmed goldenrod,https://en.wikipedia.org/wiki/Solidago_rugosa,
Solidago shortii,Solidago shortii,Solidago shortii; Short's goldenrod,https://en.wikipedia.org/wiki/Solidago_shortii,
Solidago speciosa,Solidago speciosa,Solidago speciosa; showy goldenrod,https://en.wikipedia.org/wiki/Solidago_speciosa,
Solidago stricta,Solidago stricta,Solidago stricta; wand goldenrod; willowleaf goldenrod,https://en.wikipedia.org/wiki/Solidago_stricta,
Solidago uliginosa,Solidago uliginosa,Solidago uliginosa; bog goldenrod,https://en.wikipedia.org/wiki/Solidago_uliginosa,
Solidago ulmifolia,Solidago ulmifolia,Solidago ulmifolia; elmleaf goldenrod,https://en.wikipedia.org/wiki/Solidago_ulmifolia,
Sophora davidii,Sophora,Sophora,https://en.wikipedia.org/wiki/Sophora,
Sorbus alnifolia,Sorbus alnifolia,Sorbus alnifolia; alder-leafed whitebeam; Korean whitebeam; Korean mountain ash,https://en.wikipedia.org/wiki/Sorbus_alnifolia,
Sorbus americana,Sorbus americana,Sorbus americana; American mountain-ash; rowan,https://en.wikipedia.org/wiki/Sorbus_americana,
Sorbus torminalis,Sorbus torminalis,Sorbus torminalis; wild service tree; chequers; checker tree,https://en.wikipedia.org/wiki/Sorbus_torminalis,
Sorghum bicolor,Sorghum bicolor,Sorghum bicolor; sorghum; great millet; durra; jowari; milo,https://en.wikipedia.org/wiki/Sorghum_bicolor,
Spartina pectinata,Spartina pectinata,Spartina pectinata; prairie cordgrass; freshwater cordgrass; tall marshgrass; sloughgrass,https://en.wikipedia.org/wiki/Spartina_pectinata,
Spigelia marilandica,Spigelia marilandica,Spigelia marilandica; woodland pinkroot; Indian pink,https://en.wikipedia.org/wiki/Spigelia_marilandica,
Spiraea alba,Spiraea alba,Spiraea alba; meadowsweet; white meadowsweet; narrowleaf meadowsweet; pale bridewort; pipestem,https://en.wikipedia.org/wiki/Spiraea_alba,
Spiraea betulifolia,Spiraea,Spiraea; spirea,https://en.wikipedia.org/wiki/Spiraea,
Spiraea douglasii,Spiraea douglasii,Spiraea douglasii; hardhack; hardhack steeplebush; Douglas' spirea; douglasspirea; steeplebush; rose spirea,https://en.wikipedia.org/wiki/Spiraea_douglasii,
Spiraea hypericifolia,Spiraea,Spiraea; spirea,https://en.wikipedia.org/wiki/Spiraea,
Spiraea media,Spiraea,Spiraea; spirea,https://en.wikipedia.org/wiki/Spiraea,
Spiraea tomentosa,Spiraea tomentosa,Spiraea tomentosa; steeplebush; meadowsweet; hardhack,https://en.wikipedia.org/wiki/Spiraea_tomentosa,
Spiranthes odorata,Spiranthes odorata,Spiranthes odorata; marsh lady's tresses; common lady's tresses,https://en.wikipedia.org/wiki/Spiranthes_odorata,
Spodiopogon sibiricus,Spodiopogon sibiricus,Spodiopogon sibiricus,https://en.wikipedia.org/wiki/Spodiopogon_sibiricus,
Sporobolus heterolepis,Sporobolus heterolepis,Sporobolus heterolepis; prairie dropseed,https://en.wikipedia.org/wiki/Sporobolus_heterolepis,
Stachys macrantha,Stachys macrantha,Stachys macrantha; big betony,https://en.wikipedia.org/wiki/Stachys_macrantha,
Stapelia gigantea,Stapelia gigantea,Stapelia gigantea; Zulu giant; carrion plant; toad plant,https://en.wikipedia.org/wiki/Stapelia_gigantea,
Staphylea trifolia,Staphylea trifolia,Staphylea trifolia; American bladdernut,https://en.wikipedia.org/wiki/Staphylea_trifolia,
Stenaria nigricans,Stenaria,Stenaria,https://en.wikipedia.org/wiki/Stenaria,
Sternbergia lutea,Sternbergia lutea,Sternbergia lutea; winter daffodil; autumn daffodil; fall daffodil; lily-of-the-field; yellow autumn crocus,https://en.wikipedia.org/wiki/Sternbergia_lutea,
Stewartia ovata,Stewartia ovata,Stewartia ovata; mountain camellia,https://en.wikipedia.org/wiki/Stewartia_ovata,
Stipa capillata,Stipa capillata,Stipa capillata,https://en.wikipedia.org/wiki/Stipa_capillata,
Stylophorum diphyllum,Stylophorum diphyllum,Stylophorum diphyllum; celandine-poppy; woods-poppy,https://en.wikipedia.org/wiki/Stylophorum_diphyllum,
Styphnolobium japonicum,Styphnolobium japonicum,Styphnolobium japonicum; Japanese pagoda tree; Sophora japonica,https://en.wikipedia.org/wiki/Styphnolobium_japonicum,
Styrax americanus,Styrax americanus,Styrax americanus; American snowbell; mock-orange,https://en.wikipedia.org/wiki/Styrax_americanus,
Styrax japonicus,Styrax japonicus,Styrax japonicus; 野茉莉; Japanese snowbell,https://en.wikipedia.org/wiki/Styrax_japonicus,
Styrax officinalis,Styrax,Styrax; storax; snowbell; sturaka; sturakos,https://en.wikipedia.org/wiki/Styrax,
Swietenia mahagoni,Swietenia mahagoni,Swietenia mahagoni; American mahogany; Cuban mahogany; small-leaved mahogany; West Indian mahogany,https://en.wikipedia.org/wiki/Swietenia_mahagoni,
Symphoricarpos chenaultii,not found,not found,not found,
Symphyotrichum anomalum,List of Symphyotrichum species,Symphyotrichum,https://en.wikipedia.org/wiki/List_of_Symphyotrichum_species,
Symphyotrichum cordifolium,Symphyotrichum cordifolium,Symphyotrichum cordifolium; common blue wood aster; blue wood-aster; heartleaf aster,https://en.wikipedia.org/wiki/Symphyotrichum_cordifolium,
Symphyotrichum drummondii,not found,not found,not found,
Symphyotrichum ericoides,Symphyotrichum ericoides,Symphyotrichum ericoides; white heath aster; white aster; heath aster,https://en.wikipedia.org/wiki/Symphyotrichum_ericoides,
Symphyotrichum laeve,Symphyotrichum laeve,Symphyotrichum laeve; smooth blue aster; smooth aster; smooth-leaved aster; glaucous Michaelmas-daisy; glaucous aster,https://en.wikipedia.org/wiki/Symphyotrichum_laeve,
Symphyotrichum lateriflorum,Symphyotrichum lateriflorum,Symphyotrichum lateriflorum; calico aster; starved aster,https://en.wikipedia.org/wiki/Symphyotrichum_lateriflorum,
Symphyotrichum novae-angliae,Symphyotrichum novae-angliae,Symphyotrichum novae-angliae; New England aster; hairy Michaelmas-daisy; Michaelmas daisy,https://en.wikipedia.org/wiki/Symphyotrichum_novae-angliae,
Symphyotrichum oolentangiense,Symphyotrichum oolentangiense,Symphyotrichum oolentangiense; skyblue aster; azure aster,https://en.wikipedia.org/wiki/Symphyotrichum_oolentangiense,
Symphyotrichum patens,Symphyotrichum patens,Symphyotrichum patens; late purple aster; spreading aster,https://en.wikipedia.org/wiki/Symphyotrichum_patens,
Symphyotrichum pilosum,Symphyotrichum pilosum,Symphyotrichum pilosum; hairy white oldfield aster; frost aster,https://en.wikipedia.org/wiki/Symphyotrichum_pilosum,
Symphyotrichum praealtum,Symphyotrichum praealtum,Symphyotrichum praealtum; willowleaf aster; willow aster,https://en.wikipedia.org/wiki/Symphyotrichum_praealtum,
Symphyotrichum puniceum,Symphyotrichum puniceum,Symphyotrichum puniceum; purplestem aster; red-stalk aster; red-stemmed aster; swamp aster; early purple aster; meadow scabish,https://en.wikipedia.org/wiki/Symphyotrichum_puniceum,
Symphyotrichum sericeum,Symphyotrichum sericeum,Symphyotrichum sericeum; western silver aster; silky aster,https://en.wikipedia.org/wiki/Symphyotrichum_sericeum,
Symphyotrichum turbinellum,List of Symphyotrichum species,Symphyotrichum,https://en.wikipedia.org/wiki/List_of_Symphyotrichum_species,
Symphytum asperum,Symphytum,Symphytum; comfrey,https://en.wikipedia.org/wiki/Symphytum,
Symphytum officinale,Symphytum officinale,Symphytum officinale; comfrey; common comfrey; true comfrey; Quaker comfrey; cultivated comfrey; boneset; knitbone; consound; slippery-root,https://en.wikipedia.org/wiki/Symphytum_officinale,
Symphytum uplandicum,Symphytum,Symphytum; comfrey,https://en.wikipedia.org/wiki/Symphytum,
Symplocos paniculata,Symplocos paniculata,Symplocos paniculata; Asiatic sweetleaf; sapphire-berry,https://en.wikipedia.org/wiki/Symplocos_paniculata,
Syngonium podophyllum,not found,not found,not found,
Syringa chinensis,Graft-chimaera,graft-chimaera,https://en.wikipedia.org/wiki/Graft-chimaera,
Syringa oblata,Syringa oblata,Syringa oblata; early blooming lilac; broadleaf lilac,https://en.wikipedia.org/wiki/Syringa_oblata,
Syringa persica,not found,not found,not found,
Tabebuia rosea,Tabebuia rosea,Tabebuia rosea; pink poui; rosy trumpet tree; roble de sabana,https://en.wikipedia.org/wiki/Tabebuia_rosea,
Taenidia integerrima,Taenidia integerrima,Taenidia integerrima; yellow pimpernel,https://en.wikipedia.org/wiki/Taenidia_integerrima,
Tamarindus indica,Tamarind,Tamarind; Composition of tamarind seed kernel; Fatty acid composition of tamarind kernel oil,https://en.wikipedia.org/wiki/Tamarind,
Tamarix ramosissima,Tamarix ramosissima,Tamarix ramosissima; saltcedar; salt cedar,https://en.wikipedia.org/wiki/Tamarix_ramosissima,
Tanacetum coccineum,Pyrethrum,Pyrethrum; Pyrethrum; Chrysanthemum cinerariifolium; Chrysanthemum coccineum,https://en.wikipedia.org/wiki/Pyrethrum,
Tanacetum parthenium,Tanacetum parthenium,"Tanacetum parthenium; feverfew; bachelor buttons,; 291",https://en.wikipedia.org/wiki/Tanacetum_parthenium,
Tanacetum vulgare,Tansy,Tansy; common tansy; bitter buttons; cow bitter; golden buttons,https://en.wikipedia.org/wiki/Tansy,
Taxus baccata,Taxus baccata,Taxus baccata; yew; common yew; English yew; European yew,https://en.wikipedia.org/wiki/Taxus_baccata,
Taxus floridana,Taxus floridana,Taxus floridana; Florida yew,https://en.wikipedia.org/wiki/Taxus_floridana,
Taxus media,not found,not found,not found,
Tectona grandis,Teak,Teak; Burmese teak; Central Province teak; CP teak; Nagpur teak,https://en.wikipedia.org/wiki/Teak,
Tellima grandiflora,Tellima,Tellima grandiflora; bigflower tellima; fringecups; Tellima,https://en.wikipedia.org/wiki/Tellima,
Tephrosia virginiana,Tephrosia virginiana,Tephrosia virginiana; goat-rue; goat's rue; catgut; rabbit pea; Virginia tephrosia,https://en.wikipedia.org/wiki/Tephrosia_virginiana,
Terminalia catappa,Terminalia catappa,Terminalia catappa; country almond; Indian almond; Malabar almond; sea almond; tropical almond; beach almond; false kamani,https://en.wikipedia.org/wiki/Terminalia_catappa,
Tetradium daniellii,Tetradium daniellii,Tetradium daniellii; bee-bee tree; Korean evodia,https://en.wikipedia.org/wiki/Tetradium_daniellii,
Tetragonia tetragonioides,Tetragonia tetragonoides,Tetragonia tetragonoides; New Zealand spinach,https://en.wikipedia.org/wiki/Tetragonia_tetragonoides,
Teucrium canadense,Teucrium canadense,Teucrium canadense; Canada germander; American germander; wood sage,https://en.wikipedia.org/wiki/Teucrium_canadense,
Thalictrum dasycarpum,Thalictrum dasycarpum,Thalictrum dasycarpum; tall meadow rue; purple meadow-rue,https://en.wikipedia.org/wiki/Thalictrum_dasycarpum,
Thalictrum dioicum,Thalictrum dioicum,Thalictrum dioicum; early meadow-rue; quicksilver-weed,https://en.wikipedia.org/wiki/Thalictrum_dioicum,
Thalictrum pubescens,Thalictrum pubescens,Thalictrum pubescens; king of the meadow; tall meadow-rue,https://en.wikipedia.org/wiki/Thalictrum_pubescens,
Thalictrum squarrosum,not found,not found,not found,
Thalictrum thalictroides,Thalictrum thalictroides,Thalictrum thalictroides; Anemonella thalictroides; rue-anemone,https://en.wikipedia.org/wiki/Thalictrum_thalictroides,
Thaspium trifoliatum,Thaspium,Thaspium ; meadowparsnip; meadow-parsip,https://en.wikipedia.org/wiki/Thaspium,
Theobroma cacao,Theobroma cacao,Theobroma cacao; cacao tree; cocoa tree,https://en.wikipedia.org/wiki/Theobroma_cacao,
Thymus praecox,Thymus praecox,"Thymus praecox; mother of thyme; ""creeping thyme""; ""wild thyme""",https://en.wikipedia.org/wiki/Thymus_praecox,
Tilia euchlora,Tilia,Tilia; lime trees; lime bushes; linden; basswood,https://en.wikipedia.org/wiki/Tilia,
Tilia europaea,not found,not found,not found,
Tilia japonica,Tilia japonica,Tilia japonica; Japanese lime; Japanese linden,https://en.wikipedia.org/wiki/Tilia_japonica,
Tilia platyphyllos,Tilia platyphyllos,Tilia platyphyllos; large-leaved lime; large-leaved linden; largeleaf linden; large-leaved linden; large-leaved lime,https://en.wikipedia.org/wiki/Tilia_platyphyllos,
Tilia tomentosa,Tilia tomentosa,Tilia tomentosa; silver linden; silver lime,https://en.wikipedia.org/wiki/Tilia_tomentosa,
Torreya nucifera,not found,not found,not found,
Torreya taxifolia,Torreya taxifolia,Torreya taxifolia; Florida nutmeg; Florida torreya; gopher wood; stinking-cedar; stinking-cedar; gopher wood; Florida torreya; Florida nutmeg; savin; polecat wood; yew-leaved torreya; foetid yew; stinking cedar; mountain yew; stinking yew,https://en.wikipedia.org/wiki/Torreya_taxifolia,
Tradescantia bracteata,Tradescantia bracteata,Tradescantia bracteata; longbract spiderwort; prairie spiderwort,https://en.wikipedia.org/wiki/Tradescantia_bracteata,
Tradescantia ernestiana,Tradescantia ernestiana,Tradescantia ernestiana; Ernest's spiderwort,https://en.wikipedia.org/wiki/Tradescantia_ernestiana,
Tradescantia fluminensis,Tradescantia fluminensis,Tradescantia fluminensis; wandering Jew; small-leaf spiderwort; river spiderwort; inch plant; wandering trad; wandering willie; wandering gypsy,https://en.wikipedia.org/wiki/Tradescantia_fluminensis,
Tradescantia longipes,Tradescantia longipes,Tradescantia longipes; wild crocus,https://en.wikipedia.org/wiki/Tradescantia_longipes,
Tradescantia subaspera,Tradescantia,Tradescantia; spiderwort; Indian paint,https://en.wikipedia.org/wiki/Tradescantia,
Tradescantia tharpii,Tradescantia,Tradescantia; spiderwort; Indian paint,https://en.wikipedia.org/wiki/Tradescantia,
Tradescantia virginiana,Tradescantia virginiana,Tradescantia virginiana; Virginia spiderwort; Bluejacket; Virginia spiderwort,https://en.wikipedia.org/wiki/Tradescantia_virginiana,
Tradescantia zebrina,Tradescantia zebrina,Tradescantia zebrina; inchplant; wandering jew,https://en.wikipedia.org/wiki/Tradescantia_zebrina,
Trautvetteria caroliniensis,Trautvetteria,Trautvetteria; Trautvetteria caroliniensis; Carolina bugbane; false bugbane; tassel-rue,https://en.wikipedia.org/wiki/Trautvetteria,
Tridens strictus,not found,not found,not found,
Trifolium repens,Trifolium repens,Trifolium repens; white clover; Dutch clover; Ladino clover; Ladino,https://en.wikipedia.org/wiki/Trifolium_repens,
Trillium cuneatum,Trillium cuneatum,Trillium cuneatum; little sweet Betsy; whip-poor-will flower; large toadshade; purple toadshade; bloody butcher,https://en.wikipedia.org/wiki/Trillium_cuneatum,
Trillium flexipes,Trillium flexipes,Trillium flexipes; nodding wakerobin; bent trillium; drooping trillium,https://en.wikipedia.org/wiki/Trillium_flexipes,
Trillium grandiflorum,Trillium grandiflorum,Trillium grandiflorum; white trillium; large-flowered trillium; great white trillium; white wake-robin; trille blanc,https://en.wikipedia.org/wiki/Trillium_grandiflorum,
Trillium luteum,Trillium luteum,Trillium luteum; yellow trillium; yellow wakerobin,https://en.wikipedia.org/wiki/Trillium_luteum,
Trillium recurvatum,Trillium recurvatum,Trillium recurvatum; prairie trillium; toadshade; bloody butcher; bloody noses; red trillium; prairie wake-robin; purple trillium; reflexed trillium,https://en.wikipedia.org/wiki/Trillium_recurvatum,
